setting,subset,metric,comparison,config_low_reference,config_high_reference,a_n_drives,b_n_drives,a_median,b_median,diff,diff_pct_of_a,drive_boot_ci_low,drive_boot_ci_high,exact_drive_perm_p,a_n_windows,b_n_windows,matched_strata
broad_band,all_eligible,steer_rms_deg,B-minus-A,A,B,3,1,0.8753522617748094,0.8932417266957845,0.017889464920975096,2.04368751897705,-0.056942104182436726,0.020042005836319654,1.0,42,11,
broad_band,all_eligible,steer_rms_deg,C-minus-A,A,C,3,2,0.8753522617748094,0.7240865202285429,-0.15126574154626649,-17.280556428742134,-0.27946823013526834,-0.0957422811453319,0.1,42,31,
broad_band,all_eligible,steer_rms_deg,C-minus-B,B,C,1,2,0.8932417266957845,0.7240865202285429,-0.16915520646724158,-18.93722621904021,-0.2225261259528316,-0.11578428698165155,0.3333333333333333,11,31,
broad_band,all_eligible,actual_curv_rms_1pm,B-minus-A,A,B,3,1,2.28749943161082,1.9542270879239425,-0.3332723436868774,-14.569286404245899,-0.4337840632465684,-0.22153655490520552,0.25,42,11,
broad_band,all_eligible,actual_curv_rms_1pm,C-minus-A,A,C,3,2,2.28749943161082,1.6426151406531453,-0.6448842909576746,-28.19166999764269,-0.9235349889722457,-0.3550095237211224,0.1,42,31,
broad_band,all_eligible,actual_curv_rms_1pm,C-minus-B,B,C,1,2,1.9542270879239425,1.6426151406531453,-0.3116119472707972,-15.94553412939515,-0.48975092572567736,-0.13347296881591686,0.6666666666666666,11,31,
broad_band,all_eligible,lat_accel_rms_mps2,B-minus-A,A,B,3,1,0.1189985393830599,0.13670284067978808,0.017704301296728175,14.877746725728702,0.002657085871815762,0.022219871147903206,0.5,42,11,
broad_band,all_eligible,lat_accel_rms_mps2,C-minus-A,A,C,3,2,0.1189985393830599,0.11017542427403007,-0.008823115109029833,-7.414473450491656,-0.03734766139525349,0.009169785603456423,0.5,42,31,
broad_band,all_eligible,lat_accel_rms_mps2,C-minus-B,B,C,1,2,0.13670284067978808,0.11017542427403007,-0.02652741640575801,-19.405168373856746,-0.04000474726706925,-0.013050085544446782,0.6666666666666666,11,31,
broad_band,all_eligible,cmd_curv_rms_1pm,B-minus-A,A,B,3,1,1.9160265138940027,1.8532255437202159,-0.06280097017378683,-3.2776670739359646,-0.2609067155731368,-0.012913330853962401,0.5,42,11,
broad_band,all_eligible,cmd_curv_rms_1pm,C-minus-A,A,C,3,2,1.9160265138940027,1.6645196696120486,-0.25150684428195413,-13.126480372696337,-0.4962425555333607,-0.15498923911007312,0.3,42,31,
broad_band,all_eligible,cmd_curv_rms_1pm,C-minus-B,B,C,1,2,1.8532255437202159,1.6645196696120486,-0.1887058741081673,-10.18256384106135,-0.2353358399602239,-0.14207590825611072,0.3333333333333333,11,31,
broad_band,all_eligible,desired_curv_rms_1pm,B-minus-A,A,B,3,1,1.9160768670400452,1.8531436573170261,-0.06293320972301908,-3.284482517668421,-0.2610514116552023,-0.012964689841181931,0.5,42,11,
broad_band,all_eligible,desired_curv_rms_1pm,C-minus-A,A,C,3,2,1.9160768670400452,1.66452333083968,-0.25155353620036514,-13.128572268030403,-0.49630672355805605,-0.15495003089302006,0.3,42,31,
broad_band,all_eligible,desired_curv_rms_1pm,C-minus-B,B,C,1,2,1.8531436573170261,1.66452333083968,-0.18862032647734606,-10.178397434682953,-0.23525531190285376,-0.14198534105183813,0.3333333333333333,11,31,
loose_curve,all_eligible,steer_rms_deg,B-minus-A,A,B,3,1,0.8633269961426697,0.739736467201132,-0.12359052894153777,-14.315610364756129,-0.20134358642620154,-0.09119851842822391,0.25,45,11,
loose_curve,all_eligible,steer_rms_deg,C-minus-A,A,C,3,2,0.8633269961426697,0.614290917744432,-0.24903607839823771,-28.846089547868495,-0.32920850387247846,-0.21422469989534687,0.3,45,31,
loose_curve,all_eligible,steer_rms_deg,C-minus-B,B,C,1,2,0.739736467201132,0.614290917744432,-0.12544554945669995,-16.958140502567883,-0.12786491744627693,-0.12302618146712296,0.3333333333333333,11,31,
loose_curve,all_eligible,actual_curv_rms_1pm,B-minus-A,A,B,3,1,2.1943622165527144,1.712604632738698,-0.48175758381401645,-21.954332797930007,-0.6299010455629983,-0.32952298748047393,0.25,45,11,
loose_curve,all_eligible,actual_curv_rms_1pm,C-minus-A,A,C,3,2,2.1943622165527144,1.4230406378381533,-0.7713215787145611,-35.15014854413084,-0.9276513220135687,-0.6109007008309926,0.2,45,31,
loose_curve,all_eligible,actual_curv_rms_1pm,C-minus-B,B,C,1,2,1.712604632738698,1.4230406378381533,-0.28956399490054463,-16.90781336013851,-0.2977502764505704,-0.28137771335051864,0.3333333333333333,11,31,
loose_curve,all_eligible,lat_accel_rms_mps2,B-minus-A,A,B,3,1,0.11687025014367672,0.13239550115741291,0.015525251013736197,13.284177106363618,0.0012126018727401655,0.022991848284983935,0.5,45,11,
loose_curve,all_eligible,lat_accel_rms_mps2,C-minus-A,A,C,3,2,0.11687025014367672,0.08873994615340104,-0.028130303990275676,-24.069687500192,-0.04539626729296359,-0.017710392557336058,0.3,45,31,
loose_curve,all_eligible,lat_accel_rms_mps2,C-minus-B,B,C,1,2,0.13239550115741291,0.08873994615340104,-0.04365555500401187,-32.97359398345959,-0.046608869165703753,-0.04070224084231999,0.3333333333333333,11,31,
loose_curve,all_eligible,cmd_curv_rms_1pm,B-minus-A,A,B,3,1,1.890507186033314,1.58566703929724,-0.30484014673607396,-16.12478116921065,-0.5717006662114281,-0.19992885032032515,0.5,45,11,
loose_curve,all_eligible,cmd_curv_rms_1pm,C-minus-A,A,C,3,2,1.890507186033314,1.416946409569932,-0.473560776463382,-25.04940367124513,-0.857134775352844,-0.2519360006335254,0.2,45,31,
loose_curve,all_eligible,cmd_curv_rms_1pm,C-minus-B,B,C,1,2,1.58566703929724,1.416946409569932,-0.16872062972730806,-10.640356742364036,-0.28543410914141587,-0.052007150313200246,0.6666666666666666,11,31,
loose_curve,all_eligible,desired_curv_rms_1pm,B-minus-A,A,B,3,1,1.8904456198206807,1.5857138358960867,-0.304731783924594,-16.11957417497677,-0.5716881274603658,-0.20000490459935616,0.5,45,11,
loose_curve,all_eligible,desired_curv_rms_1pm,C-minus-A,A,C,3,2,1.8904456198206807,1.4169526944823543,-0.47349292533832643,-25.04663029573101,-0.857156450676769,-0.2520588642104178,0.2,45,31,
loose_curve,all_eligible,desired_curv_rms_1pm,C-minus-B,B,C,1,2,1.5857138358960867,1.4169526944823543,-0.16876114141373244,-10.64259752254514,-0.28546832321640325,-0.05205395961106163,0.6666666666666666,11,31,
lower_speed,all_eligible,steer_rms_deg,B-minus-A,A,B,3,1,0.8987686874669212,0.739736467201132,-0.15903222026578923,-17.694454922990666,-0.19255777509924377,-0.14599095079693825,0.25,48,13,
lower_speed,all_eligible,steer_rms_deg,C-minus-A,A,C,3,2,0.8987686874669212,0.652729271142676,-0.2460394163242452,-27.375165574323656,-0.32097256047453004,-0.1915905575385638,0.1,48,40,
lower_speed,all_eligible,steer_rms_deg,C-minus-B,B,C,1,2,0.739736467201132,0.652729271142676,-0.08700719605845597,-11.761917914856426,-0.12841478537528628,-0.045599606741625553,0.6666666666666666,13,40,
lower_speed,all_eligible,actual_curv_rms_1pm,B-minus-A,A,B,3,1,2.2998249273660467,1.712604632738698,-0.5872202946273488,-25.533260712148337,-0.6168933440845252,-0.5082834838971084,0.25,48,13,
lower_speed,all_eligible,actual_curv_rms_1pm,C-minus-A,A,C,3,2,2.2998249273660467,1.5814665267882813,-0.7183584005777655,-31.23535152740909,-0.9167456537412695,-0.47070738614119745,0.1,48,40,
lower_speed,all_eligible,actual_curv_rms_1pm,C-minus-B,B,C,1,2,1.712604632738698,1.5814665267882813,-0.13113810595041664,-7.657231765203635,-0.29985230965674425,0.037576097755910975,1.0,13,40,
lower_speed,all_eligible,lat_accel_rms_mps2,B-minus-A,A,B,3,1,0.11784980879278494,0.11236332637273659,-0.005486482420048344,-4.655486908506754,-0.016000576255226676,0.004004503163070147,1.0,48,13,
lower_speed,all_eligible,lat_accel_rms_mps2,C-minus-A,A,C,3,2,0.11784980879278494,0.09058079653533448,-0.02726901225745046,-23.13878362365229,-0.03866514787910036,-0.0168959848878604,0.2,48,40,
lower_speed,all_eligible,lat_accel_rms_mps2,C-minus-B,B,C,1,2,0.11236332637273659,0.09058079653533448,-0.021782529837402115,-19.38580010095478,-0.022664571623873683,-0.020900488050930546,0.3333333333333333,13,40,
lower_speed,all_eligible,cmd_curv_rms_1pm,B-minus-A,A,B,3,1,1.933300599705966,1.5888267006204169,-0.34447389908554915,-17.817917148421714,-0.504081944439005,-0.31674646525754846,0.25,48,13,
lower_speed,all_eligible,cmd_curv_rms_1pm,C-minus-A,A,C,3,2,1.933300599705966,1.4758737805188815,-0.4574268191870845,-23.66040848777754,-0.7967454385259991,-0.24998881137362527,0.1,48,40,
lower_speed,all_eligible,cmd_curv_rms_1pm,C-minus-B,B,C,1,2,1.5888267006204169,1.4758737805188815,-0.11295292010153535,-7.109203291801973,-0.2926634940869941,0.06675765388392318,1.0,13,40,
lower_speed,all_eligible,desired_curv_rms_1pm,B-minus-A,A,B,3,1,1.933221454074277,1.5888454518608937,-0.34437600221338327,-17.813582685398437,-0.5041379244123245,-0.31668667721179267,0.25,48,13,
lower_speed,all_eligible,desired_curv_rms_1pm,C-minus-A,A,C,3,2,1.933221454074277,1.475875502549137,-0.4573459515251399,-23.65719408716887,-0.7968076032825286,-0.24995689696510182,0.1,48,40,
lower_speed,all_eligible,desired_curv_rms_1pm,C-minus-B,B,C,1,2,1.5888454518608937,1.475875502549137,-0.11296994931175663,-7.11019118816393,-0.2926696788702041,0.06672978024669085,1.0,13,40,
narrow_band,all_eligible,steer_rms_deg,B-minus-A,A,B,3,1,0.8333966014645172,0.5434117700012657,-0.2899848314632515,-34.795538037191996,-0.380746070295918,-0.2650800350032074,0.25,42,11,
narrow_band,all_eligible,steer_rms_deg,C-minus-A,A,C,3,2,0.8333966014645172,0.5258036142574112,-0.30759298720710604,-36.908356317577585,-0.4065631633356257,-0.2744792534512087,0.3,42,31,
narrow_band,all_eligible,steer_rms_deg,C-minus-B,B,C,1,2,0.5434117700012657,0.5258036142574112,-0.017608155743854548,-3.2402970851760413,-0.025817093039707695,-0.00939921844800129,0.6666666666666666,11,31,
narrow_band,all_eligible,actual_curv_rms_1pm,B-minus-A,A,B,3,1,1.9140602990967948,1.337466211558381,-0.5765940875384137,-30.124133905838622,-0.9662689699525631,-0.538020164959643,0.25,42,11,
narrow_band,all_eligible,actual_curv_rms_1pm,C-minus-A,A,C,3,2,1.9140602990967948,1.2452845116999978,-0.668775787396797,-34.940162946401344,-1.150372186579931,-0.5382803480490417,0.3,42,31,
narrow_band,all_eligible,actual_curv_rms_1pm,C-minus-B,B,C,1,2,1.337466211558381,1.2452845116999978,-0.09218169985838331,-6.892263824068914,-0.18410321662736795,-0.00026018308939868007,0.6666666666666666,11,31,
narrow_band,all_eligible,lat_accel_rms_mps2,B-minus-A,A,B,3,1,0.10926841436866244,0.1007278042190487,-0.008540610149613742,-7.816174691433191,-0.024986280537541317,-0.0025235271445537555,0.5,42,11,
narrow_band,all_eligible,lat_accel_rms_mps2,C-minus-A,A,C,3,2,0.10926841436866244,0.07271545661095563,-0.03655295775770681,-33.45244640814518,-0.053780239260241766,-0.029754263638039458,0.3,42,31,
narrow_band,all_eligible,lat_accel_rms_mps2,C-minus-B,B,C,1,2,0.1007278042190487,0.07271545661095563,-0.02801234760809307,-27.809945650334782,-0.02879395872270045,-0.027230736493485702,0.3333333333333333,11,31,
narrow_band,all_eligible,cmd_curv_rms_1pm,B-minus-A,A,B,3,1,1.6903975331269963,1.2402300601970715,-0.45016747292992476,-26.63086428534823,-0.8161258443356874,-0.3433897373235413,0.5,42,11,
narrow_band,all_eligible,cmd_curv_rms_1pm,C-minus-A,A,C,3,2,1.6903975331269963,1.284695527900364,-0.40570200522663225,-24.000390279565835,-0.984703648511323,-0.08588099774132085,0.1,42,31,
narrow_band,all_eligible,cmd_curv_rms_1pm,C-minus-B,B,C,1,2,1.2402300601970715,1.284695527900364,0.044465467703292516,3.5852596328964155,-0.16857780417563561,0.2575087395822204,1.0,11,31,
narrow_band,all_eligible,desired_curv_rms_1pm,B-minus-A,A,B,3,1,1.6903463846880968,1.2402219555993148,-0.45012442908878203,-26.629123661647554,-0.8162022545998848,-0.34340758716667974,0.5,42,11,
narrow_band,all_eligible,desired_curv_rms_1pm,C-minus-A,A,C,3,2,1.6903463846880968,1.2847026665485282,-0.4056437181395687,-23.997668277583127,-0.9847582813894955,-0.08589013847864257,0.1,42,31,
narrow_band,all_eligible,desired_curv_rms_1pm,C-minus-B,B,C,1,2,1.2402219555993148,1.2847026665485282,0.04448071094921335,3.5865121358635244,-0.16855602678961068,0.25751744868803716,1.0,11,31,
primary,all_eligible,steer_rms_deg,B-minus-A,A,B,3,1,0.8409265742872691,0.739736467201132,-0.10119010708613718,-12.033167957844748,-0.19255777509924377,-0.07963134361532065,0.5,42,11,
primary,all_eligible,steer_rms_deg,C-minus-A,A,C,3,2,0.8409265742872691,0.614290917744432,-0.22663565654283713,-26.95070693121134,-0.3204226925455207,-0.2026575250824436,0.3,42,31,
primary,all_eligible,steer_rms_deg,C-minus-B,B,C,1,2,0.739736467201132,0.614290917744432,-0.12544554945669995,-16.958140502567883,-0.12786491744627693,-0.12302618146712296,0.3333333333333333,11,31,
primary,all_eligible,actual_curv_rms_1pm,B-minus-A,A,B,3,1,2.0888995057393815,1.712604632738698,-0.37629487300068365,-18.014024703763393,-0.6168933440845252,-0.3135103236747916,0.25,42,11,
primary,all_eligible,actual_curv_rms_1pm,C-minus-A,A,C,3,2,2.0888995057393815,1.4230406378381533,-0.6658588679012283,-31.876060388340345,-0.9146436205350956,-0.5948880370253102,0.3,42,31,
primary,all_eligible,actual_curv_rms_1pm,C-minus-B,B,C,1,2,1.712604632738698,1.4230406378381533,-0.28956399490054463,-16.90781336013851,-0.2977502764505704,-0.28137771335051864,0.3333333333333333,11,31,
primary,all_eligible,lat_accel_rms_mps2,B-minus-A,A,B,3,1,0.1127746309101268,0.13239550115741291,0.01962087024728612,17.39830145214355,0.004031598529449648,0.023732124399310356,0.5,42,11,
primary,all_eligible,lat_accel_rms_mps2,C-minus-A,A,C,3,2,0.1127746309101268,0.08873994615340104,-0.024034684756725752,-21.312137812164202,-0.042577270636254105,-0.016970116443009636,0.3,42,31,
primary,all_eligible,lat_accel_rms_mps2,C-minus-B,B,C,1,2,0.13239550115741291,0.08873994615340104,-0.04365555500401187,-32.97359398345959,-0.046608869165703753,-0.04070224084231999,0.3333333333333333,11,31,
primary,all_eligible,cmd_curv_rms_1pm,B-minus-A,A,B,3,1,1.8754412061886625,1.58566703929724,-0.28977416689142244,-15.450986463090022,-0.5072416057621818,-0.06259570647520873,0.5,42,11,
primary,all_eligible,cmd_curv_rms_1pm,C-minus-A,A,C,3,2,1.8754412061886625,1.416946409569932,-0.4584947966187305,-24.4473031255669,-0.7926757149035977,-0.11460285678840898,0.1,42,31,
primary,all_eligible,cmd_curv_rms_1pm,C-minus-B,B,C,1,2,1.58566703929724,1.416946409569932,-0.16872062972730806,-10.640356742364036,-0.28543410914141587,-0.052007150313200246,0.6666666666666666,11,31,
primary,all_eligible,desired_curv_rms_1pm,B-minus-A,A,B,3,1,1.875359110568675,1.5857138358960867,-0.2896452746725884,-15.4447899093181,-0.5072695403771315,-0.06255240169581278,0.5,42,11,
primary,all_eligible,desired_curv_rms_1pm,C-minus-A,A,C,3,2,1.875359110568675,1.4169526944823543,-0.4584064160863208,-24.44366060361185,-0.7927378635935347,-0.1146063613068744,0.1,42,31,
primary,all_eligible,desired_curv_rms_1pm,C-minus-B,B,C,1,2,1.5857138358960867,1.4169526944823543,-0.16876114141373244,-10.64259752254514,-0.28546832321640325,-0.05205395961106163,0.6666666666666666,11,31,
strict_curve,all_eligible,steer_rms_deg,B-minus-A,A,B,3,1,0.8353909055061834,0.7358760339235144,-0.09951487158266903,-11.912371911969831,-0.1964182083768613,-0.05461044764083145,0.5,37,10,
strict_curve,all_eligible,steer_rms_deg,C-minus-A,A,C,3,2,0.8353909055061834,0.575681759848794,-0.25970914565738945,-31.08833768067243,-0.38291797686767737,-0.18849922729945623,0.2,37,28,
strict_curve,all_eligible,steer_rms_deg,C-minus-B,B,C,1,2,0.7358760339235144,0.575681759848794,-0.16019427407472042,-21.76919300124547,-0.18649976849081606,-0.13388877965862478,0.3333333333333333,10,28,
strict_curve,all_eligible,actual_curv_rms_1pm,B-minus-A,A,B,3,1,1.9477340580960778,1.8031064787702822,-0.14462757932579562,-7.425427446043121,-0.5263914980529409,-0.07086831718041098,0.5,37,10,
strict_curve,all_eligible,actual_curv_rms_1pm,C-minus-A,A,C,3,2,1.9477340580960778,1.3204799709499895,-0.6272540871460883,-32.20429835062971,-1.0182441629721442,-0.544268667901793,0.3,37,28,
strict_curve,all_eligible,actual_curv_rms_1pm,C-minus-B,B,C,1,2,1.8031064787702822,1.3204799709499895,-0.4826265078202927,-26.766389755830936,-0.4918526649192032,-0.473400350721382,0.3333333333333333,10,28,
strict_curve,all_eligible,lat_accel_rms_mps2,B-minus-A,A,B,3,1,0.11020541293512902,0.1303316378882424,0.020126224953113378,18.262464988866217,0.00196773526027913,0.025983134239840666,0.5,37,10,
strict_curve,all_eligible,lat_accel_rms_mps2,C-minus-A,A,C,3,2,0.11020541293512902,0.08812607396950364,-0.022079338965625375,-20.034713701968606,-0.04232223669714941,-0.01413802164020829,0.3,37,28,
strict_curve,all_eligible,lat_accel_rms_mps2,C-minus-B,B,C,1,2,0.1303316378882424,0.08812607396950364,-0.04220556391873875,-32.38320687332224,-0.04428997195742854,-0.040121155880048956,0.3333333333333333,10,28,
strict_curve,all_eligible,cmd_curv_rms_1pm,B-minus-A,A,B,3,1,1.7176247904715756,1.6005850815429294,-0.11703970892864612,-6.8140439971475235,-0.4923235635164924,-0.010433778879521682,0.5,37,10,
strict_curve,all_eligible,cmd_curv_rms_1pm,C-minus-A,A,C,3,2,1.7176247904715756,1.4114141365090225,-0.3062106539625531,-17.827563718295117,-0.7986390862867438,-0.08246014617708441,0.3,37,28,
strict_curve,all_eligible,cmd_curv_rms_1pm,C-minus-B,B,C,1,2,1.6005850815429294,1.4114141365090225,-0.18917094503390697,-11.818862190790274,-0.3063155227702514,-0.07202636729756273,0.6666666666666666,10,28,
strict_curve,all_eligible,desired_curv_rms_1pm,B-minus-A,A,B,3,1,1.7176719279373454,1.6006050668894263,-0.11706686104791908,-6.815437752918162,-0.4923783093837919,-0.010429677163773743,0.5,37,10,
