setting,config_id,driving_model,controller_set,n_drives,n_windows,eligible_min,speed_median_mph,road_curv_abs_median,steer_rms_deg,steer_rms_deg_drive_iqr,actual_curv_rms_1pm,actual_curv_rms_1pm_drive_iqr,lat_accel_rms_mps2,lat_accel_rms_mps2_drive_iqr,cmd_curv_rms_1pm,cmd_curv_rms_1pm_drive_iqr,desired_curv_rms_1pm,desired_curv_rms_1pm_drive_iqr,model_path_y20_rms_m,model_path_y20_rms_m_drive_iqr,lane_center_y20_rms_m,lane_center_y20_rms_m_drive_iqr,steer_pp_sine_deg,steer_pp_sine_deg_drive_iqr,lat_disp_pp_sine_cm,lat_disp_pp_sine_cm_drive_iqr,steer_peak_freq_hz,steer_peak_freq_hz_drive_iqr
broad_band,A,CD210,set1,3,42,18.2725,52.32217165922612,0.00037249763132448993,0.8753522617748094,0.038492055009378134,2.28749943161082,0.1061237541706812,0.1189985393830599,0.009781392638043729,1.9160265138940027,0.12399669235958699,1.9160768670400452,0.1240433609070104,0.03740457399824005,0.00213881220152079,0.10432787726572469,0.015115916397912765,2.4758700809117986,0.10887197247574809,21.501366631062506,0.9918555918284824,0.1953125,0.0
broad_band,B,CD210,set2,1,11,5.065833333333333,61.94258441167891,0.0003380844241418988,0.8932417266957845,,1.9542270879239425,,0.13670284067978808,,1.8532255437202159,,1.8531436573170261,,0.04024596645312843,,0.11158223704018469,,2.52646912874148,,29.003668164006513,,0.15625,
broad_band,C,OPM7,set1,2,31,13.901666666666666,58.16923840769452,0.0003401780101378941,0.7240865202285429,0.05337091948559003,1.6426151406531453,0.17813897845488014,0.11017542427403007,0.01347733086131124,1.6645196696120486,0.04662996585205681,1.66452333083968,0.0466349854255077,0.03106669274539478,0.0033167900516176685,0.07129162577245185,0.0009396229805241907,2.0480259544774917,0.1509557563456878,23.909167370464196,12.045791957060597,0.185546875,0.048828125
loose_curve,A,CD210,set1,3,45,19.486666666666665,52.81717675084894,0.0003729683176225543,0.8633269961426697,0.055072533998988815,2.1943622165527144,0.15018902904126197,0.11687025014367672,0.010889623206121885,1.890507186033314,0.18588590794555127,1.8904456198206807,0.18584161143050482,0.036205566208951614,0.0034138453529874296,0.0896855229226376,0.01486832365529002,2.4418574934155766,0.1557686489912471,22.54021509441409,1.8828328075832026,0.1953125,0.0
loose_curve,B,CD210,set2,1,11,5.1025,61.94258441167891,0.0003380844241418988,0.739736467201132,,1.712604632738698,,0.13239550115741291,,1.58566703929724,,1.5857138358960867,,0.03322205695477014,,0.10437932031721127,,2.092290688995602,,25.370388083073646,,0.15625,
loose_curve,C,OPM7,set1,2,31,13.901666666666666,58.16923840769452,0.0003401780101378941,0.614290917744432,0.0024193679895769815,1.4230406378381533,0.008186281550025987,0.08873994615340104,0.0029533141616918945,1.416946409569932,0.11671347941410781,1.4169526944823543,0.11670718180267103,0.026396625578697482,0.0003781152778862609,0.06678095817855495,0.0014915534194373387,1.7374770942335824,0.006843006046462152,25.952629164061943,15.264929525209062,0.185546875,0.048828125
lower_speed,A,CD210,set1,3,48,21.694166666666664,51.56751885890439,0.0003799080990476438,0.8987686874669212,0.023283412151152816,2.2998249273660467,0.05430493009370796,0.11784980879278494,0.010002539709148411,1.933300599705966,0.09366773959072838,1.933221454074277,0.09372562360026615,0.03875078761619253,0.0006684469804707077,0.09547834565362769,0.01506080950350086,2.542101734503971,0.06585543448496534,21.854725886695032,0.9735454515767046,0.1953125,0.0
lower_speed,B,CD210,set2,1,13,5.8516666666666675,61.500957769783696,0.0003380844241418988,0.739736467201132,,1.712604632738698,,0.11236332637273659,,1.5888267006204169,,1.5888454518608937,,0.03322205695477014,,0.10437932031721127,,2.092290688995602,,25.33902193171923,,0.1953125,
lower_speed,C,OPM7,set1,2,40,18.265833333333333,57.3937817152486,0.0003616968506531623,0.652729271142676,0.04140758931683031,1.5814665267882813,0.16871420370632784,0.09058079653533448,0.0008820417864715824,1.4758737805188815,0.17971057398545853,1.475875502549137,0.17969972955844726,0.027076463856467663,0.0011453035936134885,0.06819781031182984,7.470128616246519e-05,1.8461971756157558,0.11711834879407368,26.57997368891863,14.637585000352367,0.185546875,0.048828125
narrow_band,A,CD210,set1,3,42,18.2725,52.32217165922612,0.00037249763132448993,0.8333966014645172,0.05783301764635529,1.9140602990967948,0.21412440249646014,0.10926841436866244,0.01123137669649378,1.6903975331269963,0.23636805350607304,1.6903463846880968,0.23639733371660254,0.033139394231054345,0.004623451690197698,0.08347601983306187,0.020846048912326373,2.357201553253531,0.16357647581687607,19.39696103493045,2.568695513661691,0.1953125,0.0
