setting,subset,metric,comparison,stratum,a_n_windows,b_n_windows,weight,a_median,b_median,diff
broad_band,speed_curve_matched,steer_rms_deg,B-minus-A,10|-1,9,4,4.0,0.8219246670607493,1.0291408406221398,0.20721617356139055
broad_band,speed_curve_matched,steer_rms_deg,B-minus-A,10|0,4,1,1.0,0.6086740646037891,2.2211508594449456,1.6124767948411565
broad_band,speed_curve_matched,steer_rms_deg,B-minus-A,11|-1,1,3,1.0,0.3768575186296626,0.8932417266957845,0.5163842080661218
broad_band,speed_curve_matched,actual_curv_rms_1pm,B-minus-A,10|-1,9,4,4.0,1.8398696609745953,2.4778851131937443,0.638015452219149
broad_band,speed_curve_matched,actual_curv_rms_1pm,B-minus-A,10|0,4,1,1.0,1.3960846532479407,5.74884783655441,4.35276318330647
broad_band,speed_curve_matched,actual_curv_rms_1pm,B-minus-A,11|-1,1,3,1.0,0.8710980112682746,1.9972377608333298,1.1261397495650551
broad_band,speed_curve_matched,lat_accel_rms_mps2,B-minus-A,10|-1,9,4,4.0,0.11047361027044819,0.1658277879950101,0.055354177724561915
broad_band,speed_curve_matched,lat_accel_rms_mps2,B-minus-A,10|0,4,1,1.0,0.09633446971533405,0.3586456797093838,0.2623112099940498
broad_band,speed_curve_matched,lat_accel_rms_mps2,B-minus-A,11|-1,1,3,1.0,0.07483032373762716,0.15336779631370287,0.07853747257607571
broad_band,speed_curve_matched,cmd_curv_rms_1pm,B-minus-A,10|-1,9,4,4.0,1.5759898382772612,2.5069868199629015,0.9309969816856403
broad_band,speed_curve_matched,cmd_curv_rms_1pm,B-minus-A,10|0,4,1,1.0,1.1540510739863703,5.946238231321295,4.792187157334924
broad_band,speed_curve_matched,cmd_curv_rms_1pm,B-minus-A,11|-1,1,3,1.0,0.5793651762737855,1.8947011199750443,1.3153359437012588
broad_band,speed_curve_matched,desired_curv_rms_1pm,B-minus-A,10|-1,9,4,4.0,1.5760036281034542,2.5070763428710734,0.9310727147676192
broad_band,speed_curve_matched,desired_curv_rms_1pm,B-minus-A,10|0,4,1,1.0,1.1539466776091194,5.946640193104814,4.792693515495695
broad_band,speed_curve_matched,desired_curv_rms_1pm,B-minus-A,11|-1,1,3,1.0,0.5793337566865471,1.894630174618564,1.315296417932017
broad_band,gps_speed_curve_matched,steer_rms_deg,B-minus-A,-6|-1|10|-1,1,1,1.0,0.714887264033474,0.9036043032651776,0.18871703923170358
broad_band,gps_speed_curve_matched,steer_rms_deg,B-minus-A,-9|-1|10|-1,2,1,1.0,0.8627109472985717,0.7040153964550694,-0.1586955508435023
broad_band,gps_speed_curve_matched,actual_curv_rms_1pm,B-minus-A,-6|-1|10|-1,1,1,1.0,1.7599130544070978,1.9542270879239425,0.19431403351684473
broad_band,gps_speed_curve_matched,actual_curv_rms_1pm,B-minus-A,-9|-1|10|-1,2,1,1.0,2.0147955971240705,1.8031696594896471,-0.2116259376344234
broad_band,gps_speed_curve_matched,lat_accel_rms_mps2,B-minus-A,-6|-1|10|-1,1,1,1.0,0.11033868378287782,0.1362675514125763,0.025928867629698468
broad_band,gps_speed_curve_matched,lat_accel_rms_mps2,B-minus-A,-9|-1|10|-1,2,1,1.0,0.12854089579747058,0.13670284067978808,0.008161944882317501
broad_band,gps_speed_curve_matched,cmd_curv_rms_1pm,B-minus-A,-6|-1|10|-1,1,1,1.0,1.5173802868614936,1.8532255437202159,0.33584525685872224
broad_band,gps_speed_curve_matched,cmd_curv_rms_1pm,B-minus-A,-9|-1|10|-1,2,1,1.0,1.708288133553197,1.6269609412526804,-0.08132719230051655
broad_band,gps_speed_curve_matched,desired_curv_rms_1pm,B-minus-A,-6|-1|10|-1,1,1,1.0,1.5173405894766614,1.8531436573170261,0.33580306784036473
broad_band,gps_speed_curve_matched,desired_curv_rms_1pm,B-minus-A,-9|-1|10|-1,2,1,1.0,1.7082934536079044,1.627009107600053,-0.0812843460078514
broad_band,speed_curve_matched,steer_rms_deg,C-minus-A,10|-1,9,1,1.0,0.8219246670607493,0.743788299679047,-0.07813636738170227
broad_band,speed_curve_matched,steer_rms_deg,C-minus-A,11|-1,1,4,1.0,0.3768575186296626,0.5409631475405696,0.16410562891090702
broad_band,speed_curve_matched,steer_rms_deg,C-minus-A,8|-1,8,4,4.0,1.0578873914327371,0.6400964381495976,-0.41779095328313953
