setting,subset,metric,comparison,n_strata,a_n_windows,b_n_windows,weighted_mean_diff,weighted_median_diff,stratum_boot_ci_low,stratum_boot_ci_high,share_strata_b_less_than_a
broad_band,speed_curve_matched,steer_rms_deg,B-minus-A,3,14,8,0.4929542828588067,0.20721617356139055,0.20721617356139055,1.6124767948411565,0.0
broad_band,speed_curve_matched,actual_curv_rms_1pm,B-minus-A,3,14,8,1.338494123624687,0.638015452219149,0.638015452219149,4.35276318330647,0.0
broad_band,speed_curve_matched,lat_accel_rms_mps2,B-minus-A,3,14,8,0.09371089891139552,0.055354177724561915,0.055354177724561915,0.2623112099940498,0.0
broad_band,speed_curve_matched,cmd_curv_rms_1pm,B-minus-A,3,14,8,1.6385851712964572,0.9309969816856403,0.9309969816856403,4.792187157334924,0.0
broad_band,speed_curve_matched,desired_curv_rms_1pm,B-minus-A,3,14,8,1.6387134654163649,0.9310727147676192,0.9310727147676192,4.792693515495695,0.0
broad_band,gps_speed_curve_matched,steer_rms_deg,B-minus-A,2,3,2,0.015010744194100645,-0.1586955508435023,-0.1586955508435023,0.18871703923170358,0.5
broad_band,gps_speed_curve_matched,actual_curv_rms_1pm,B-minus-A,2,3,2,-0.008655952058789329,-0.2116259376344234,-0.2116259376344234,0.19431403351684473,0.5
broad_band,gps_speed_curve_matched,lat_accel_rms_mps2,B-minus-A,2,3,2,0.017045406256007985,0.008161944882317501,0.008161944882317501,0.025928867629698468,0.0
broad_band,gps_speed_curve_matched,cmd_curv_rms_1pm,B-minus-A,2,3,2,0.12725903227910285,-0.08132719230051655,-0.08132719230051655,0.33584525685872224,0.5
broad_band,gps_speed_curve_matched,desired_curv_rms_1pm,B-minus-A,2,3,2,0.12725936091625667,-0.0812843460078514,-0.0812843460078514,0.33580306784036473,0.5
broad_band,speed_curve_matched,steer_rms_deg,C-minus-A,8,36,19,-0.09759933155347439,-0.03794264257760607,-0.29188449003984873,0.09615371687097937,0.625
broad_band,speed_curve_matched,actual_curv_rms_1pm,C-minus-A,8,36,19,-0.49382441536328525,-0.8058191401421873,-0.9520498695950471,-0.007689936699852407,0.625
broad_band,speed_curve_matched,lat_accel_rms_mps2,C-minus-A,8,36,19,-0.022729972986890435,-0.02487906346532974,-0.044910274858519665,0.0012359651873979692,0.75
broad_band,speed_curve_matched,cmd_curv_rms_1pm,C-minus-A,8,36,19,0.2423846715791415,-0.10144130914918886,-0.32776425432777617,0.9778281033928584,0.25
broad_band,speed_curve_matched,desired_curv_rms_1pm,C-minus-A,8,36,19,0.24245073613958074,-0.10136643820812685,-0.3112663669468566,0.9892920360430734,0.25
